Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",0,4.31,Vintage Books,Paperback,721,2007,2005,,2023/07/29,to-read,to-read (#256),to-read,,,,0,0
13168124,A Course in Behavioral Economics,Erik Angner,"Angner, Erik",,"=""0230304540""","=""9780230304543""",0,4.02,Palgrave Macmillan,Paperback,272,2012,2012,,2023/07/24,to-read,to-read (#255),to-read,,,,0,0
62769734,How Economics Can Save the World: Simple Ideas to Solve Our Biggest Problems,Erik Angner,"Angner, Erik",,"=""0241502721""","=""9780241502723""",0,3.62,Penguin,Kindle Edition,277,2023,2023,,2023/07/23,to-read,to-read (#254),to-read,,,,0,0
17874891,What Is Money?,Frédéric Bastiat,"Bastiat, Frédéric",,"=""""","=""""",0,4.58,,Unknown Binding,,,1849,2023/07/10,2023/07/09,economics,economics (#135),read,,,,1,0
17877275,Government,Frédéric Bastiat,"Bastiat, Frédéric",,"=""""","=""""",4,4.41,,Unknown Binding,,,,,2023/07/09,economics,economics (#136),read,,,,1,0
17904157,Capital and Interest,Frédéric Bastiat,"Bastiat, Frédéric",,"=""""","=""""",5,4.20,www.WealthOfNation.com,Kindle Edition,44,2014,2006,,2023/07/09,economics,economics (#134),read,,,,1,0
1609227,That Which Is Seen and That Which Is Not Seen: The Unintended Consequences of Government Spending,Frédéric Bastiat,"Bastiat, Frédéric",,"=""160096706X""","=""9781600967061""",5,4.40,Classic Books Library,Paperback,55,2007,1850,2023/07/09,2021/04/12,economics,economics (#38),read,,,,1,0
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Gia-Fu Feng, Jane English, Jacob Needleman, Toinette Lippe, Claudio Lamparelli","=""0679724346""","=""9780679724346""",0,4.29,Vintage,Paperback,107,1989,-350,2023/07/07,2023/06/01,philosophy,philosophy (#137),read,,,,1,0
40651883,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""""","=""""",0,4.01,Spectra,Kindle Edition,559,2018,1992,2023/07/06,2023/07/03,,,read,,,,1,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Diana Lewis Burgin, Katherine Tiernan O'Connor, Ellendea Proffer, Hans Fronius, Михаил Булгаков","=""0679760806""","=""9780679760801""",0,4.28,Vintage International,Paperback,372,1996,1967,,2021/08/10,"philosophy, to-read","philosophy (#116), to-read (#253)",to-read,,,,0,0
28676323,"The Tao of Seneca: Practical Letters from a Stoic Master, Volume 1",Timothy Ferriss,"Ferriss, Timothy",,"=""""","=""""",0,4.17,,Audible Audio,1,,,,2023/07/03,to-read,to-read (#252),to-read,,,,0,0
143878,Total Freedom: The Essential Krishnamurti,J. Krishnamurti,"Krishnamurti, J.",,"=""0060648805""","=""9780060648800""",0,4.37,HarperOne,Paperback,370,1996,1996,,2023/07/03,to-read,to-read (#251),to-read,,,,0,0
149961,Spiritual Enlightenment: The Damnedest Thing,Jed McKenna,"McKenna, Jed",,"=""0971435235""","=""9780971435230""",0,4.37,Wisefool Pr,Paperback,296,2002,2002,,2023/07/03,to-read,to-read (#250),to-read,,,,0,0
22471,The Origins of Virtue: Human Instincts and the Evolution of Cooperation,Matt Ridley,"Ridley, Matt",,"=""0140264450""","=""9780140264456""",0,4.03,Penguin Publishing Group,Paperback,265,1998,1997,,2023/07/03,to-read,to-read (#249),to-read,,,,0,0
366821,The Evolution of Cooperation,Robert Axelrod,"Axelrod, Robert",Richard Dawkins,"=""0465005640""","=""9780465005642""",0,4.25,Basic Books,Paperback,264,2006,1984,,2023/07/03,to-read,to-read (#248),to-read,,,,0,0
2685451,The Compleat Strategyst (Complete Strategist): Being A Primer On The Theory Of Games Of Strategy,J.D. Williams,"Williams, J.D.",,"=""0070703965""","=""9780070703964""",0,3.45,McGraw-Hill,Hardcover,268,1965,1965,,2023/07/03,to-read,to-read (#247),to-read,,,,0,0
20157104,Poor Charlie's Almanack: The Wit and Wisdom of Charles T. Munger,Charles T. Munger,"Munger, Charles T.","Peter D. Kaufman, Ed Wexler, Warren Buffett","=""""","=""""",0,4.40,Walsworth Publishing Company,Hardcover,548,2005,2005,,2023/07/03,to-read,to-read (#246),to-read,,,,0,0
82256,The Sovereign Individual: Mastering the Transition to the Information Age,James Dale Davidson,"Davidson, James Dale",William Rees-Mogg,"=""0684832720""","=""9780684832722""",0,4.18,Touchstone,Paperback,448,1999,1997,,2023/07/03,to-read,to-read (#245),to-read,,,,0,0
83733,Six Easy Pieces / Six Not-So-Easy Pieces,Richard P. Feynman,"Feynman, Richard P.",,"=""0738206504""","=""9780738206509""",0,4.28,Perseus Publishing,Hardcover,384,2001,2001,,2023/07/03,to-read,to-read (#244),to-read,,,,0,0
9402297,The Bed of Procrustes: Philosophical and Practical Aphorisms,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""1400069971""","=""9781400069972""",0,3.78,Random House,Hardcover,112,2010,2010,,2023/07/03,to-read,to-read (#243),to-read,,,,0,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",0,4.38,Magrathea Publishing,Kindle Edition,244,2020,2020,2023/07/03,2023/07/02,,,read,,,,1,0
2977435,The Politics and Economics of the Transition Period,Nikolai Bukharin,"Bukharin, Nikolai","Oliver Field, J. Tarbuck","=""0415313104""","=""9780415313100""",0,3.40,Routledge,Hardcover,272,2003,1979,,2023/06/29,to-read,to-read (#242),to-read,,,,0,0
185246,Economic Theory of the Leisure Class,Nikolai Bukharin,"Bukharin, Nikolai",,"=""085345261X""","=""9780853452614""",0,3.83,Monthly Review Press,Paperback,224,1972,1970,,2023/06/29,to-read,to-read (#241),to-read,,,,0,0
3042,Knowledge and Decisions,Thomas Sowell,"Sowell, Thomas",,"=""0465037380""","=""9780465037384""",5,4.39,Basic Books,Paperback,422,1996,1979,2023/01/23,2023/01/14,economics,economics (#129),read,,,,2,0
11990,The Rebel,Albert Camus,"Camus, Albert",,"=""0679733841""","=""9780679733843""",0,4.13,Vintage,Paperback,320,1992,1951,,2023/06/09,to-read,to-read (#240),to-read,,,,0,0
36217163,"The Road to Unfreedom: Russia, Europe, America",Timothy Snyder,"Snyder, Timothy",,"=""0525574468""","=""9780525574460""",2,4.37,Tim Duggan Books,Hardcover,359,2018,2018,2023/06/08,2022/11/07,,,read,,,,1,0
33917107,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,"Snyder, Timothy",,"=""0804190119""","=""9780804190114""",3,4.29,Tim Duggan Books,Paperback,127,2017,2017,2023/06/01,2022/11/07,,,read,,,,1,0
58684274,Hidden Games: The Surprising Power of Game Theory to Explain Irrational Human Behavior,Erez Yoeli,"Yoeli, Erez",Moshe Hoffman,"=""1549193155""","=""9781549193156""",5,3.66,Basic Books,Audiobook,368,2022,,2022/04/19,2022/04/18,economics,economics (#124),read,,,,2,0
12263681,"The Age of Insight: The Quest to Understand the Unconscious in Art, Mind, and Brain from Vienna 1900 to the Present",Eric R. Kandel,"Kandel, Eric R.",,"=""1400068711""","=""9781400068715""",0,4.21,Random House,Hardcover,636,2012,2012,,2023/05/30,to-read,to-read (#239),to-read,,,,0,0
56155133,The Man from the Future: The Visionary Life of John von Neumann,Ananyo Bhattacharya,"Bhattacharya, Ananyo",,"=""0241398851""","=""9780241398852""",0,4.10,Allen Lane,Hardcover,354,2021,2021,2023/05/30,2023/01/24,,,read,,,,1,0
63029366,"Land is a Big Deal: Why rent is too high, wages too low, and what we can do about it",Lars A. Doucet,"Doucet, Lars A.",,"=""""","=""9798985322521""",0,4.04,Shack Simple Press,Paperback,306,2022,2022,,2023/05/30,to-read,to-read (#238),to-read,,,,0,0
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,"=""0465081452""","=""9780465081455""",5,4.37,Basic Books,Hardcover,448,2003,2000,2021/05/06,2021/04/18,economics,economics (#34),read,,,,2,0
1371,The Iliad,Homer,"Homer, Homer","Robert Fagles, Bernard Knox","=""0140275363""","=""9780140275360""",0,3.93,Penguin Classics,Paperback,614,1999,-800,2023/05/16,2022/03/24,,,read,,,,1,0
7852641,In die Sonne schauen. Wie man die Angst vor dem Tod überwindet,Irvin D. Yalom,"Yalom, Irvin D.",Barbara Linner,"=""3442738385""","=""9783442738380""",0,4.23,,Paperback,272,2010,2008,,2023/05/08,to-read,to-read (#237),to-read,,,,0,0
279245,The Concept of the Political,Carl Schmitt,"Schmitt, Carl",George Schwab,"=""0226738868""","=""9780226738864""",0,3.94,University of Chicago Press,Paperback,144,1996,1927,,2023/04/29,to-read,to-read (#236),to-read,,,,0,0
19117,Fathers and Sons,Ivan Turgenev,"Turgenev, Ivan","Jane Costlow, George Reavy","=""""","=""""",0,4.00,Signet,Mass Market Paperback,244,2005,1862,,2023/04/29,to-read,to-read (#235),to-read,,,,0,0
1772910,White Nights,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Olga Shartse,"=""""","=""""",0,4.07,,Paperback,82,1848,1848,,2023/04/29,to-read,to-read (#234),to-read,,,,0,0
5695,Demons,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky","=""""","=""""",0,4.31,Vintage,Paperback,733,1995,1872,,2023/04/29,to-read,to-read (#233),to-read,,,,0,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.21,Bloomsbury,Hardcover,245,2020,2020,2023/04/25,2023/04/23,,,read,,,,1,0
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",5,4.08,Bantam Books,Mass Market Paperback,152,1981,1922,2023/04/25,2021/07/01,philosophy,philosophy (#118),read,,,,1,0
37582646,Eristische Dialektik Von,Arthur Schopenhauer,"Schopenhauer, Arthur",,"=""1981729623""","=""9781981729623""",0,4.75,Createspace Independent Publishing Platform,Paperback,,2017,,2023/04/24,2023/04/24,philosophy,philosophy (#135),read,,,,1,0
242319,I See Satan Fall Like Lightning,René Girard,"Girard, René",James G. Williams,"=""1570753199""","=""9781570753190""",0,4.31,Orbis,Paperback,215,2001,1999,2023/04/19,2023/02/26,philosophy,philosophy (#134),read,,,,1,0
29780253,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",0,4.49,Doubleday Canada,Hardcover,289,2016,2016,,2022/11/12,,,read,,,,1,0
853510,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0007119313""","=""9780007119318""",5,4.20,HarperCollins,Paperback,274,2007,1934,2023/01/01,2022/12/05,,,read,,,,1,0
61628131,"Warum es so schwer ist, ein guter Mensch zu sein: …und wie wir das ändern können: Antworten eines Verhaltensökonomen",Armin Falk,"Falk, Armin",,"=""3641288762""","=""9783641288761""",3,3.98,Siedler Verlag,Kindle Edition,338,2022,,2023/04/18,2023/04/03,economics,economics (#133),read,,,,1,0
31283667,"Stubborn Attachments: A Vision for a Society of Free, Prosperous, and Responsible Individuals",Tyler Cowen,"Cowen, Tyler",,"=""""","=""""",0,3.74,Stripe Press,Kindle Edition,127,2018,,,2023/04/08,to-read,to-read (#232),to-read,,,,0,0
10016013,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,"Yudkowsky, Eliezer",,"=""""","=""""",0,4.38,hpmor.com & fanfiction.net,ebook,2184,2015,2015,,2023/04/08,to-read,to-read (#231),to-read,,,,0,0
9713747,Economics of Good and Evil: The Quest for Economic Meaning from Gilgamesh to Wall Street,Tomáš Sedláček,"Sedláček, Tomáš",Václav Havel,"=""0199767203""","=""9780199767205""",0,3.86,oxford university press,Hardcover,386,,2009,,2023/04/03,to-read,to-read (#230),to-read,,,,0,0
58490565,Don't Trust Your Gut: Using Data to Get What You Really Want in Life,Seth Stephens-Davidowitz,"Stephens-Davidowitz, Seth",,"=""0062880918""","=""9780062880918""",0,3.79,Dey Street Books,Hardcover,320,2022,,,2023/04/03,to-read,to-read (#229),to-read,,,,0,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",0,4.31,Harmony,Hardcover,496,2023,2023,2023/01/01,2023/04/02,,,read,,,,1,0
12321,Beyond Good and Evil,Friedrich Nietzsche,"Nietzsche, Friedrich","Michael Tanner, R.J. Hollingdale","=""014044923X""","=""9780140449235""",5,4.03,Penguin Classics,Paperback,240,2003,1886,2020/11/18,2020/09/29,"philosophy, favourites, currently-reading","philosophy (#21), favourites (#3), currently-reading (#7)",currently-reading,,,,2,0
26530386,"The Vital Question: Energy, Evolution, and the Origins of Complex Life",Nick Lane,"Lane, Nick",,"=""0393352978""","=""9780393352979""",0,4.18,W. W. Norton & Company,Paperback,368,2016,2015,,2023/02/28,to-read,to-read (#228),to-read,,,,0,0
25658482,At the Existentialist Café,Sarah Bakewell,"Bakewell, Sarah",,"=""0701186585""","=""9780701186586""",4,4.24,Chatto & Windus,Hardcover,440,2016,2016,2020/12/04,2020/10/07,philosophy,philosophy (#47),read,,,,2,0
9751,Quotations from Chairman Mao Tsetung,Mao Zedong,"Zedong, Mao",,"=""083512388X""","=""9780835123884""",0,3.51,China Books,Vinyl Bound,326,2025,1964,,2023/02/26,to-read,to-read (#227),to-read,,,,0,0
36484703,Prediction Machines: The Simple Economics of Artificial Intelligence,Ajay Agrawal,"Agrawal, Ajay","Joshua Gans, Avi Goldfarb","=""1633695689""","=""9781633695689""",0,3.86,Harvard Business Review Press,Kindle Edition,328,2018,,,2023/02/26,to-read,to-read (#226),to-read,,,,0,0
9721527,"The Psychedelic Explorer's Guide: Safe, Therapeutic, and Sacred Journeys",James Fadiman,"Fadiman, James",,"=""1594774021""","=""9781594774027""",0,4.17,Park Street Press,Paperback,352,2011,2011,,2023/02/20,to-read,to-read (#225),to-read,,,,0,0
3979190,Critique of the Gotha Program,Karl Marx,"Marx, Karl",,"=""1434463095""","=""9781434463098""",0,4.30,Wildside Press,Paperback,63,2021,1875,,2023/02/20,to-read,to-read (#224),to-read,,,,0,0
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0345816021""","=""9780345816023""",5,3.90,Random House Canada,Hardcover,409,2018,2018,2020/11/10,2020/10/23,philosophy,philosophy (#2),read,,,,2,0
369708,The Alchemy of Finance (Wiley Investment Classics),George Soros,"Soros, George",Paul A. Volcker,"=""0471445495""","=""9780471445494""",0,3.75,Wiley,Paperback,416,2015,1987,,2023/02/08,to-read,to-read (#223),to-read,,,,0,0
31624481,Drawdown: The Most Comprehensive Plan Ever Proposed to Reverse Global Warming,Paul Hawken,"Hawken, Paul",,"=""0143130447""","=""9780143130444""",0,4.40,Penguin Books,Paperback,240,2017,2017,,2023/01/30,to-read,to-read (#222),to-read,,,,0,0
42741939,Massenpsychologie und Ich-Analyse (German Edition),Sigmund Freud,"Freud, Sigmund",,"=""3954550792""","=""9783954550791""",0,3.93,Dearbooks,Paperback,92,2016,1915,,2023/01/30,to-read,to-read (#221),to-read,,,,0,0
58616916,The Cost of Sexism: How the Economy Is Built for Men and Why We Must Reshape It,Linda Scott,"Scott, Linda",,"=""057137459X""","=""9780571374595""",0,4.32,Faber & Faber,Paperback,365,2022,,,2022/07/21,"economics, currently-reading","economics (#131), currently-reading (#6)",currently-reading,,,,1,0
41160292,Exhalation,Ted Chiang,"Chiang, Ted",,"=""""","=""""",5,4.27,Knopf,ebook,368,2019,2019,2023/01/23,2021/08/16,,,read,,,,1,0
54750328,Doom: The Politics of Catastrophe,Niall Ferguson,"Ferguson, Niall",,"=""0241488443""","=""9780241488447""",0,3.63,Allen Lane,Hardcover,496,2021,2021,2023/01/20,2022/01/15,,,read,,,,1,0
55873420,The Profit Paradox: How Thriving Firms Threaten the Future of Work,Jan Eeckhout,"Eeckhout, Jan",,"=""0691214476""","=""9780691214474""",0,3.91,Princeton University Press,Hardcover,336,2021,2021,,2023/01/13,to-read,to-read (#220),to-read,,,,0,0
18386,The Death of Ivan Ilych,Leo Tolstoy,"Tolstoy, Leo","Aylmer Maude, Louise Maude","=""""","=""""",5,4.14,Waking Lion Press,Paperback,86,2006,1886,2023/01/12,2021/01/04,philosophy,philosophy (#98),read,,,,1,0
13079982,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""""","=""""",0,3.97,Simon & Schuster,Mass Market Paperback,249,2011,1953,2022/12/23,2022/03/24,,,read,,,,1,0
46223297,Permanent Record,Edward Snowden,"Snowden, Edward",,"=""1250237238""","=""9781250237231""",0,4.30,Metropolitan Books,Hardcover,339,2019,2019,2022/01/01,2022/11/19,,,read,,,,1,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Richard Pevear, Larissa Volokhonsky, Donald Fanger","=""067973452X""","=""9780679734529""",5,4.17,Vintage Classics,Paperback,136,1994,1864,2022/12/16,2020/11/10,philosophy,philosophy (#29),read,,,,1,0
28017177,My Own Life,David Hume,"Hume, David",,"=""1616409614""","=""9781616409616""",5,3.55,Cosimo Classics,Kindle Edition,26,2015,1757,,2022/04/27,philosophy,philosophy (#128),read,,,,2,0
25409816,The Laws of Medicine: Field Notes from an Uncertain Science (TED Books),Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1476784841""","=""9781476784847""",0,4.07,Simon & Schuster/ TED,Hardcover,70,2015,2015,,2022/12/06,to-read,to-read (#219),to-read,,,,0,0
35354350,A Brief History of Everyone Who Ever Lived: The Human Story Retold Through Our Genes,Adam Rutherford,"Rutherford, Adam",Siddhartha Mukherjee,"=""""","=""""",0,4.03,The Experiment,ebook,416,2017,2016,,2022/12/06,to-read,to-read (#218),to-read,,,,0,0
60321392,The Song of the Cell: An Exploration of Medicine and the New Human,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""1982117354""","=""9781982117351""",0,4.29,Scribner,Hardcover,473,2022,2022,,2022/12/06,to-read,to-read (#217),to-read,,,,0,0
41721428,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"Goggins, David",,"=""1544512260""","=""""",5,4.30,Lioncrest Publishing,Kindle Edition,366,2018,2018,2021/06/06,2021/06/06,,,read,,,,2,0
43582376,The Body: A Guide for Occupants,Bill Bryson,"Bryson, Bill",,"=""0385539304""","=""9780385539302""",5,4.31,Doubleday Books,Hardcover,450,2019,2019,2022/12/05,2022/11/28,,,read,,,,1,0
6330896,Create Your Own Economy: The Path to Prosperity in a Disordered World,Tyler Cowen,"Cowen, Tyler",,"=""0525951237""","=""9780525951230""",0,3.35,Dutton,Hardcover,272,2009,2009,,2022/12/04,to-read,to-read (#216),to-read,,,,0,0
10276354,"The Great Stagnation: How America Ate All The Low-Hanging Fruit of Modern History, Got Sick, and Will (Eventually) Feel Better",Tyler Cowen,"Cowen, Tyler",,"=""1101502258""","=""9781101502259""",0,3.73,Dutton,Kindle Edition,64,2011,2011,,2022/12/04,to-read,to-read (#215),to-read,,,,0,0
53799686,Anxious People,Fredrik Backman,"Backman, Fredrik",Neil   Smith,"=""1982121602""","=""9781982121600""",0,4.16,Simon & Schuster Canada,Paperback,336,2020,2019,,2022/11/30,to-read,to-read (#214),to-read,,,,0,0
23168483,The Most Good You Can Do: How Effective Altruism Is Changing Ideas About Living Ethically,Peter Singer,"Singer, Peter",,"=""0300180276""","=""9780300180275""",0,3.80,Yale University Press,Hardcover,211,2015,2015,2022/01/01,2022/11/18,"philosophy, to-read","philosophy (#132), to-read (#213)",to-read,,,,1,0
30272030,Ethics in the Real World: 86 Brief Essays on Things that Matter,Peter Singer,"Singer, Peter",,"=""1925355853""","=""9781925355857""",0,3.92,Text Publishing ,Paperback,336,2016,2016,2022/01/01,2022/11/18,,,read,,,,1,0
57981,The End of History and the Last Man,Francis Fukuyama,"Fukuyama, Francis",,"=""0743284550""","=""9780743284554""",0,3.61,Free Press,Paperback,464,2006,1992,,2022/11/28,to-read,to-read (#212),to-read,,,,0,0
225468,Industrial Society and Its Future,Theodore John Kaczynski,"Kaczynski, Theodore John",,"=""""","=""""",0,3.85,,Paperback,149,1995,1995,,2022/11/28,to-read,to-read (#211),to-read,,,,0,0
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""1441341706""","=""9781441341709""",0,4.30,Modern Library,Paperback,279,2023,1813,2022/11/19,2022/04/09,,,read,,,,1,0
38728977,"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and Will Determine the Fate of the Human Race",Daniel Z. Lieberman,"Lieberman, Daniel Z.",Michael E. Long,"=""1946885118""","=""9781946885111""",0,4.13,BenBella Books,Hardcover,240,2018,2018,,2022/11/15,to-read,to-read (#210),to-read,,,,0,0
49089453,"False Alarm: How Climate Change Panic Costs Us Trillions, Hurts the Poor, and Fails to Fix the Planet",Bjørn Lomborg,"Lomborg, Bjørn",,"=""1541647467""","=""9781541647466""",0,4.16,Basic Books,Hardcover,320,2020,2020,2022/01/01,2022/11/12,,,read,,,,1,0
51174975,"Age Later: Secrets of the Healthiest, Sharpest Centenarians",Nir Barzilai,"Barzilai, Nir",,"=""1250230853""","=""9781250230850""",0,3.66,St. Martin's Press,Hardcover,320,2020,,,2022/11/14,to-read,to-read (#209),to-read,,,,0,0
12567775,"Health Care Reform: What It Is, Why It's Necessary, How It Works",Jonathan Gruber,"Gruber, Jonathan","H.P. Newquist, Nathan Schreiber","=""0809094622""","=""9780809094622""",0,3.80,Hill and Wang,Hardcover,152,2011,2011,,2022/11/09,to-read,to-read (#207),to-read,,,,0,0
41189934,Jump-Starting America: How Breakthrough Science Can Revive Economic Growth and the American Dream,Jonathan Gruber,"Gruber, Jonathan",Simon Johnson,"=""1541762487""","=""9781541762480""",0,4.07,PublicAffairs,Hardcover,368,2019,2019,,2022/11/09,to-read,to-read (#208),to-read,,,,0,0
36556202,The Coddling of the American Mind: How Good Intentions and Bad Ideas Are Setting up a Generation for Failure,Jonathan Haidt,"Haidt, Jonathan",Greg Lukianoff,"=""0735224900""","=""9780735224902""",5,4.23,Penguin Press,Kindle Edition,352,2018,2018,2022/11/03,2022/11/01,,,read,,,,1,0
59095821,The Future is Degrowth: A Guide to a World Beyond Capitalism,Matthias Schmelzer,"Schmelzer, Matthias","Aaron Vansintjan, Andrea Vetter","=""1839765844""","=""9781839765841""",0,3.88,Verso,Paperback,320,2022,,,2022/11/03,to-read,to-read (#206),to-read,,,,0,0
59916180,"Please Don't Say You're Sorry: An Empowering Perspective on Marriage, Separation, and Divorce from a Marriage-Loving Divorce Attorney",Nicole Sodoma,"Sodoma, Nicole",,"=""1637630816""","=""9781637630815""",0,4.28,Forefront Books,Kindle Edition,253,2022,,,2022/11/03,to-read,to-read (#205),to-read,,,,0,0
9704856,The Origins of Political Order: From Prehuman Times to the French Revolution,Francis Fukuyama,"Fukuyama, Francis",,"=""0374227349""","=""9780374227340""",0,4.19,"Farrar, Straus and Giroux",Hardcover,585,2011,2011,,2022/11/02,to-read,to-read (#204),to-read,,,,0,0
28820444,The Elephant in the Brain: Hidden Motives in Everyday Life,Kevin Simler,"Simler, Kevin",Robin Hanson,"=""0190496010""","=""9780190496012""",5,3.96,Oxford University Press,ebook,408,2017,2017,2022/11/02,2021/06/20,philosophy,philosophy (#119),read,,,,1,0
59133689,"Hayek: A Life, 1899–1950",Bruce Caldwell,"Caldwell, Bruce",Hansjoerg Klausinger,"=""0226816826""","=""9780226816821""",0,4.44,University of Chicago Press,Hardcover,824,2022,2022,,2022/11/01,to-read,to-read (#203),to-read,,,,0,0
15658,Strangers to Ourselves: Discovering the Adaptive Unconscious,Timothy D. Wilson,"Wilson, Timothy D.",,"=""0674013824""","=""9780674013827""",0,3.98,Belknap Press: An Imprint of Harvard University Press,Paperback,262,2004,2002,,2022/11/01,to-read,to-read (#202),to-read,,,,0,0
61242808,Gekränkte Freiheit: Aspekte des libertären Autoritarismus,Carolin Amlinger,"Amlinger, Carolin",Oliver Nachtwey,"=""3518430718""","=""9783518430712""",0,4.08,Suhrkamp,Hardcover,480,2022,,,2022/10/27,to-read,to-read (#201),to-read,,,,0,0
26831944,"The Age of Em: Work, Love and Life When Robots Rule the Earth",Robin Hanson,"Hanson, Robin",,"=""0198754620""","=""9780198754626""",0,3.43,Oxford University Press,Hardcover,440,2016,2016,,2022/10/27,to-read,to-read (#200),to-read,,,,0,0
8410925,"Mao's Great Famine: The History of China's Most Devastating Catastrophe, 1958-62",Frank Dikötter,"Dikötter, Frank",,"=""0747595089""","=""9780747595083""",0,4.07,Walker & Co.,Hardcover,448,2010,2010,,2022/10/20,to-read,to-read (#199),to-read,,,,0,0
61140120,The Value of a Whale: On the Illusions of Green Capitalism,Adrienne Buller,"Buller, Adrienne",,"=""1526162636""","=""9781526162632""",0,4.02,Manchester University Press,Paperback,350,2022,2022,,2022/10/16,to-read,to-read (#198),to-read,,,,0,0
101880,In a Different Voice: Psychological Theory and Women’s Development,Carol Gilligan,"Gilligan, Carol",,"=""0674445449""","=""9780674445444""",0,4.06,Harvard University Press ,Paperback,192,1993,1982,,2022/10/14,to-read,to-read (#197),to-read,,,,0,0
24885533,The Paper Menagerie and Other Stories,Ken Liu,"Liu, Ken",,"=""1481442546""","=""9781481442541""",0,4.35,Gallery / Saga Press,Hardcover,450,2016,2016,,2022/10/12,to-read,to-read (#196),to-read,,,,0,0
44287322,Good Economics for Hard Times,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""1610399501""","=""9781610399500""",5,4.22,PublicAffairs,Hardcover,432,2019,2019,2021/05/26,2021/05/11,economics,economics (#53),read,,,,2,0
10245602,Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty,Abhijit V. Banerjee,"Banerjee, Abhijit V.",Esther Duflo,"=""1586487981""","=""9781586487980""",5,4.27,PublicAffairs,Hardcover,320,2011,2011,2021/06/01,2021/05/21,,,read,,,,2,0
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""""","=""""",0,4.37,Scribner,Hardcover,368,2017,2017,2020/09/15,2020/04/07,favourites,favourites (#1),read,,,,2,0
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"Clear, James",,"=""""","=""""",5,4.32,Avery,Kindle Edition,319,2018,2018,2020/09/22,2020/04/07,,,read,,,,3,0
129731,Mindless Eating: Why We Eat More Than We Think,Brian Wansink,"Wansink, Brian",,"=""0553804340""","=""9780553804348""",4,3.93,Bantam,Hardcover,276,2006,2006,2022/08/30,2022/08/28,,,read,,,,1,0
43723901,Lifespan: Why We Age―and Why We Don't Have To,David A. Sinclair,"Sinclair, David A.",,"=""1501191977""","=""9781501191978""",4,4.12,Atria Books,Hardcover,432,2019,2019,2022/08/28,2022/08/11,,,read,,,,1,0
50031440,Why We Eat (Too Much): The New Science of Appetite,Andrew Jenkinson,"Jenkinson, Andrew",,"=""024140052X""","=""9780241400524""",0,4.22,Penguin Life,Hardcover,331,2020,2020,,2022/08/11,to-read,to-read (#195),to-read,,,,0,0
59802037,What We Owe the Future,William MacAskill,"MacAskill, William",,"=""1541618629""","=""9781541618626""",0,3.81,Basic Books,Hardcover,335,2022,2022,,2022/08/04,to-read,to-read (#194),to-read,,,,0,0
